id,invoice_id,produk_id,quantity,payment_id,jenis_pesanan,kurir_id,tanggal_transaksi,customer_id
46,37,14,1,6,1,3,2021-01-09,93
47,38,4,1,2,2,,2021-01-10,60
48,38,29,1,2,2,,2021-01-10,96
49,38,25,2,2,2,,2021-01-10,57
50,39,5,2,1,2,,2021-01-10,81
51,40,14,1,5,1,2,2021-01-10,18
52,41,18,3,3,1,3,2021-01-11,58
53,42,16,1,6,1,1,2021-01-11,59
54,43,14,2,3,1,3,2021-01-11,60
55,44,6,3,2,1,3,2021-01-12,80
56,45,8,2,6,1,2,2021-01-12,97
57,46,12,2,1,2,,2021-01-12,44
58,47,4,3,5,1,3,2021-01-12,52
59,48,1,1,6,2,,2021-01-13,87
60,48,20,1,6,2,,2021-01-13,87
61,48,30,1,6,2,,2021-01-13,60
62,49,4,1,5,2,,2021-01-13,73
63,49,19,2,5,2,,2021-01-13,73
64,50,3,3,6,1,1,2021-01-13,37
65,51,5,3,4,1,1,2021-01-13,39
66,52,16,3,4,2,,2021-01-14,23
67,53,16,1,1,2,,2021-01-14,53
68,54,15,3,3,1,3,2021-01-14,66
69,54,29,1,3,1,3,2021-01-14,96
70,55,17,3,4,1,3,2021-01-14,57
71,56,17,3,5,1,1,2021-01-15,51
72,56,24,1,5,1,1,2021-01-15,21
73,57,6,2,3,2,,2021-01-15,2
74,57,25,2,3,2,,2021-01-15,57
75,58,16,2,1,1,1,2021-01-15,92
76,59,4,2,4,2,,2021-01-16,3
77,59,20,2,4,2,,2021-01-16,3
78,59,25,2,4,2,,2021-01-16,57
79,60,12,1,1,2,,2021-01-16,77
80,60,23,1,1,2,,2021-01-16,77
81,60,25,2,1,2,,2021-01-16,57
82,61,5,2,2,1,1,2021-01-16,90
83,61,30,1,2,1,1,2021-01-16,60
84,62,4,3,3,2,,2021-01-16,73
85,63,11,2,2,1,1,2021-01-17,98
86,64,17,1,5,2,,2021-01-17,82
87,65,11,2,5,1,1,2021-01-17,53
88,66,15,1,5,2,,2021-01-18,85
89,67,6,3,1,1,2,2021-01-18,57
90,68,10,2,5,1,1,2021-01-18,26
91,68,29,1,5,1,1,2021-01-18,96
92,68,31,1,5,1,1,2021-01-18,35
93,69,15,2,1,2,,2021-01-18,36
94,70,3,2,6,1,3,2021-01-19,46
95,71,7,1,5,2,,2021-01-19,77
96,72,18,3,3,1,2,2021-01-19,43
97,72,20,1,3,1,2,2021-01-19,43
98,73,5,2,4,1,3,2021-01-19,10
99,74,9,3,6,1,1,2021-01-19,2
100,75,3,3,2,1,2,2021-01-19,15
101,76,8,1,1,1,1,2021-01-20,68
102,76,21,2,1,1,1,2021-01-20,68
103,77,17,2,4,1,1,2021-01-20,9
104,78,17,1,1,2,,2021-01-20,40
105,78,23,2,1,2,,2021-01-20,40
106,79,5,2,5,2,,2021-01-20,52
107,79,24,2,5,2,,2021-01-20,21
108,79,31,1,5,2,,2021-01-20,35
109,80,15,1,5,1,3,2021-01-20,65
110,81,15,2,3,2,,2021-01-20,2
111,82,7,1,3,2,,2021-01-20,82
112,83,7,2,5,2,,2021-01-20,77
113,83,28,1,5,2,,2021-01-20,24
114,84,4,1,1,2,,2021-01-20,80
115,85,11,2,6,1,2,2021-01-21,21
116,85,23,1,6,1,2,2021-01-21,21
117,85,26,2,6,1,2,2021-01-21,95
118,85,25,2,6,1,2,2021-01-21,57
119,86,18,1,3,1,3,2021-01-21,27
120,86,23,1,3,1,3,2021-01-21,27
121,87,18,3,2,2,,2021-01-21,27
122,87,30,1,2,2,,2021-01-21,60
123,88,12,1,3,1,3,2021-01-21,32
124,89,10,2,3,2,,2021-01-21,68
125,89,23,2,3,2,,2021-01-21,68
126,90,1,3,1,2,,2021-01-21,95
127,90,28,2,1,2,,2021-01-21,24
128,91,16,1,6,1,2,2021-01-21,73
129,91,21,1,6,1,2,2021-01-21,73
130,92,10,3,4,1,2,2021-01-21,82
131,93,5,3,3,2,,2021-01-21,13
132,94,15,2,2,1,2,2021-01-22,79
133,95,12,1,2,2,,2021-01-22,52
134,96,5,3,4,2,,2021-01-23,24
135,97,16,2,6,1,3,2021-01-23,86
136,98,13,1,4,1,2,2021-01-23,10
137,99,15,1,4,2,,2021-01-23,8
138,100,5,1,6,2,,2021-01-24,31
139,101,6,3,2,2,,2021-01-24,17
140,102,8,2,2,1,3,2021-01-25,67
141,103,4,1,2,2,,2021-01-25,88
142,103,29,1,2,2,,2021-01-25,96
143,104,3,1,6,2,,2021-01-26,68
144,104,29,1,6,2,,2021-01-26,96
145,105,8,3,3,2,,2021-01-26,41
146,105,20,1,3,2,,2021-01-26,41
147,106,10,3,1,2,,2021-01-26,30
148,107,10,3,3,1,3,2021-01-26,88
149,108,10,1,6,2,,2021-01-27,62
150,109,4,2,5,2,,2021-01-27,26
151,110,10,1,1,2,,2021-01-27,18
152,111,6,2,6,1,2,2021-01-28,36
153,112,12,1,6,2,,2021-01-28,69
154,113,10,2,2,1,2,2021-01-28,85
155,114,8,1,2,1,2,2021-01-28,28
156,115,14,1,3,2,,2021-01-28,94
157,116,10,2,2,1,3,2021-01-28,16
158,117,16,2,6,1,1,2021-01-28,7
159,118,10,2,6,1,2,2021-01-28,18
160,119,2,1,2,2,,2021-01-29,89
161,119,20,1,2,2,,2021-01-29,89
162,120,18,1,6,2,,2021-01-29,87
163,120,22,2,6,2,,2021-01-29,87
164,120,19,2,6,2,,2021-01-29,87
165,120,29,1,6,2,,2021-01-29,96
166,121,6,3,4,1,3,2021-01-29,8
167,122,4,2,2,2,,2021-01-29,93
168,123,12,2,5,1,3,2021-01-29,15
169,124,7,2,4,1,2,2021-01-29,76
170,125,18,2,1,2,,2021-01-29,92
171,126,14,2,6,1,2,2021-01-29,32
172,126,31,2,6,1,2,2021-01-29,35
173,127,5,2,3,1,3,2021-01-29,67
174,128,14,3,5,2,,2021-01-30,23
175,129,9,3,4,1,1,2021-01-30,67
176,130,8,2,6,2,,2021-01-31,97
177,130,30,2,6,2,,2021-01-31,60
178,131,18,1,4,1,1,2021-02-01,11
179,131,20,1,4,1,1,2021-02-01,11
180,131,27,1,4,1,1,2021-02-01,95
181,132,5,2,5,2,,2021-02-01,48
182,133,3,3,1,2,,2021-02-01,59
183,134,7,3,6,2,,2021-02-01,56
184,135,4,1,5,1,3,2021-02-01,69
185,136,2,2,5,1,3,2021-02-02,48
186,136,22,1,5,1,3,2021-02-02,48
187,137,4,1,4,2,,2021-02-02,43
188,138,13,3,2,2,,2021-02-02,54
189,139,17,3,2,1,2,2021-02-02,77
190,140,6,2,3,2,,2021-02-02,80
191,141,8,3,3,1,1,2021-02-02,83
192,142,4,3,1,2,,2021-02-02,28
193,142,19,1,1,2,,2021-02-02,28
194,143,18,3,6,2,,2021-02-03,32
195,143,21,1,6,2,,2021-02-03,32
196,144,10,3,1,2,,2021-02-03,54
197,145,8,3,6,1,1,2021-02-03,46
198,146,4,1,4,2,,2021-02-03,38
199,147,13,2,1,2,,2021-02-03,30
200,147,30,2,1,2,,2021-02-03,60
201,148,16,3,3,1,3,2021-02-03,64
202,148,20,1,3,1,3,2021-02-03,64
203,149,3,1,3,2,,2021-02-04,98
204,150,3,1,3,1,1,2021-02-04,88
205,151,10,3,2,1,3,2021-02-04,70
206,152,15,3,3,2,,2021-02-05,66
207,153,16,3,4,1,3,2021-02-05,5
208,154,13,3,4,1,1,2021-02-05,88
209,154,21,1,4,1,1,2021-02-05,88
210,155,16,2,3,1,2,2021-02-05,28
211,155,21,2,3,1,2,2021-02-05,28
212,156,6,1,6,1,3,2021-02-06,4
213,157,3,2,2,2,,2021-02-06,58
214,158,12,2,4,2,,2021-02-06,28
215,159,6,3,4,2,,2021-02-06,28
216,159,29,1,4,2,,2021-02-06,96
217,160,6,2,4,2,,2021-02-06,37
218,161,6,3,4,1,3,2021-02-07,87
219,162,7,1,3,1,2,2021-02-07,19
220,163,2,2,5,1,2,2021-02-07,94
221,164,16,1,6,1,3,2021-02-07,26
222,164,19,1,6,1,3,2021-02-07,26
223,164,26,2,6,1,3,2021-02-07,95
224,165,18,2,1,2,,2021-02-08,13
225,165,31,1,1,2,,2021-02-08,35
226,166,4,3,3,1,1,2021-02-08,6
227,167,16,2,5,2,,2021-02-08,18
228,167,27,1,5,2,,2021-02-08,95
229,168,13,1,6,1,2,2021-02-08,15
230,168,21,2,6,1,2,2021-02-08,15
231,169,11,3,1,2,,2021-02-08,61
232,170,2,2,6,1,3,2021-02-08,72
233,170,20,2,6,1,3,2021-02-08,72
234,170,28,2,6,1,3,2021-02-08,24
235,171,1,1,5,2,,2021-02-08,89
236,172,1,1,4,2,,2021-02-08,66
237,173,6,2,1,1,2,2021-02-09,85
238,174,8,3,2,2,,2021-02-09,19
239,175,14,1,5,2,,2021-02-10,27
240,176,15,2,3,1,2,2021-02-10,79
241,176,22,2,3,1,2,2021-02-10,79
242,176,20,1,3,1,2,2021-02-10,79
243,177,8,1,4,1,1,2021-02-10,33
244,178,3,1,2,2,,2021-02-10,3
245,179,13,2,5,2,,2021-02-11,67
246,180,15,2,1,2,,2021-02-12,88
247,181,11,3,6,1,2,2021-02-12,95
248,182,4,2,2,1,3,2021-02-12,96
249,183,1,3,2,2,,2021-02-12,92
250,184,2,3,3,2,,2021-02-13,41
251,185,5,3,5,1,2,2021-02-13,97
252,186,3,3,3,1,2,2021-02-13,47
253,186,21,2,3,1,2,2021-02-13,47
254,187,9,1,5,2,,2021-02-14,9
255,187,28,2,5,2,,2021-02-14,24
256,188,6,1,2,2,,2021-02-14,31
257,189,6,2,6,1,2,2021-02-14,91
258,190,15,2,4,2,,2021-02-14,77
259,191,11,2,3,1,3,2021-02-14,51
260,192,18,1,1,2,,2021-02-15,1
261,193,14,3,5,1,3,2021-02-16,28
262,194,16,3,6,2,,2021-02-16,74
263,194,30,1,6,2,,2021-02-16,60
264,195,11,1,6,2,,2021-02-16,87
265,196,3,1,4,1,3,2021-02-16,22
266,197,7,1,3,2,,2021-02-16,22
267,198,16,3,4,2,,2021-02-17,43
268,198,21,2,4,2,,2021-02-17,43
269,199,15,3,2,1,1,2021-02-17,50
270,200,2,1,6,1,1,2021-02-17,20
271,200,25,2,6,1,1,2021-02-17,57
272,201,6,1,5,2,,2021-02-17,46
273,202,4,2,4,2,,2021-02-18,99
274,203,6,3,3,1,1,2021-02-18,86
275,204,10,2,6,1,2,2021-02-18,28
276,205,12,2,4,1,2,2021-02-18,3
277,206,5,1,4,1,2,2021-02-18,44
278,207,6,2,4,2,,2021-02-20,36
279,208,6,3,3,2,,2021-02-20,36
280,209,9,1,4,1,3,2021-02-20,1
281,209,21,2,4,1,3,2021-02-20,1
282,210,11,3,5,1,3,2021-02-21,31
283,211,10,3,2,1,3,2021-02-21,85
284,211,21,1,2,1,3,2021-02-21,85
285,212,5,1,6,2,,2021-02-21,69
286,212,27,2,6,2,,2021-02-21,95
287,213,9,1,4,2,,2021-02-21,27
288,214,4,1,4,1,1,2021-02-21,10
289,215,12,2,3,1,3,2021-02-21,84
290,215,20,1,3,1,3,2021-02-21,84
291,215,31,1,3,1,3,2021-02-21,35
292,216,16,1,6,2,,2021-02-22,81
293,217,4,2,1,2,,2021-02-22,16
294,217,30,1,1,2,,2021-02-22,60
295,218,15,1,1,2,,2021-02-22,65
296,219,6,3,3,2,,2021-02-22,16
297,220,6,3,3,2,,2021-02-23,39
298,221,14,3,3,1,1,2021-02-23,33
299,222,3,1,3,2,,2021-02-23,68
300,223,10,1,5,2,,2021-02-24,67
301,224,8,2,3,1,1,2021-02-24,45
302,225,11,2,6,1,1,2021-02-24,49
303,226,5,1,5,2,,2021-02-24,78
304,227,13,1,3,2,,2021-02-25,53
305,228,15,3,1,1,3,2021-02-25,51
306,229,5,2,4,1,1,2021-02-25,79
307,230,5,3,4,2,,2021-02-25,37
308,230,31,2,4,2,,2021-02-25,35
309,231,2,1,3,1,3,2021-02-25,30
310,231,20,2,3,1,3,2021-02-25,30
311,232,4,3,3,2,,2021-02-25,85
312,233,5,3,5,1,1,2021-02-26,98
313,233,21,1,5,1,1,2021-02-26,98
314,234,3,1,4,1,1,2021-02-26,16
315,234,23,2,4,1,1,2021-02-26,16
316,235,13,1,3,1,1,2021-02-26,53
317,236,14,2,1,1,2,2021-02-27,67
318,236,26,2,1,1,2,2021-02-27,95
319,237,3,1,4,2,,2021-02-27,24
320,238,1,2,5,1,2,2021-02-27,63
321,239,15,2,4,1,2,2021-02-28,36
322,240,9,2,3,2,,2021-02-28,68
323,241,5,3,2,2,,2021-02-28,9
324,241,28,2,2,2,,2021-02-28,24
325,242,10,3,6,1,2,2021-02-28,74
326,243,16,3,3,1,2,2021-03-01,68
327,244,4,1,5,2,,2021-03-01,10
328,245,5,2,6,1,1,2021-03-01,42
329,245,24,2,6,1,1,2021-03-01,21
330,246,7,2,1,1,2,2021-03-02,93
331,246,19,1,1,1,2,2021-03-02,93
332,247,14,3,5,2,,2021-03-03,79
333,248,1,3,4,1,1,2021-03-03,70
334,249,11,3,3,1,3,2021-03-03,38
335,249,20,2,3,1,3,2021-03-03,38
336,249,27,2,3,1,3,2021-03-03,95
337,250,16,1,5,2,,2021-03-03,41
338,251,5,3,6,2,,2021-03-04,25
339,251,20,1,6,2,,2021-03-04,25
340,252,15,2,3,1,1,2021-03-04,61
341,253,3,1,3,1,3,2021-03-04,40
342,254,1,1,4,2,,2021-03-04,2
343,255,17,3,4,1,1,2021-03-05,58
344,256,9,3,5,2,,2021-03-05,8
345,257,5,3,2,2,,2021-03-05,7
346,258,11,1,3,1,2,2021-03-06,68
347,259,14,3,3,1,3,2021-03-06,68
348,260,3,3,6,2,,2021-03-06,61
349,261,9,3,6,2,,2021-03-06,36
350,262,6,2,4,1,2,2021-03-07,20
351,263,18,1,6,1,1,2021-03-07,85
352,264,6,1,5,1,3,2021-03-07,87
353,264,25,2,5,1,3,2021-03-07,57
354,265,7,1,5,1,3,2021-03-07,60
355,266,14,3,3,2,,2021-03-08,47
356,266,19,1,3,2,,2021-03-08,47
357,267,14,2,2,2,,2021-03-08,11
358,268,11,3,4,2,,2021-03-08,45
359,268,19,2,4,2,,2021-03-08,45
360,269,9,2,4,1,3,2021-03-08,74
361,270,14,3,6,2,,2021-03-08,12
362,271,17,2,1,1,2,2021-03-08,51
363,272,5,3,4,2,,2021-03-08,85
364,272,26,2,4,2,,2021-03-08,95
365,272,29,2,4,2,,2021-03-08,96
366,272,26,2,4,2,,2021-03-08,95
367,272,25,1,4,2,,2021-03-08,57
368,273,9,3,3,1,3,2021-03-08,34
369,273,28,1,3,1,3,2021-03-08,24
370,274,6,2,1,1,2,2021-03-09,84
371,275,11,1,2,1,1,2021-03-09,35
372,275,19,1,2,1,1,2021-03-09,35
373,276,17,3,3,1,3,2021-03-09,18
374,277,5,2,4,1,2,2021-03-09,31
375,277,30,1,4,1,2,2021-03-09,60
376,277,24,2,4,1,2,2021-03-09,21
377,278,9,2,1,1,3,2021-03-10,25
378,279,10,3,3,1,2,2021-03-10,79
379,279,23,1,3,1,2,2021-03-10,79
380,280,8,1,5,1,3,2021-03-10,46
381,280,20,1,5,1,3,2021-03-10,46
382,281,6,3,6,2,,2021-03-10,61
383,282,10,3,4,1,3,2021-03-10,22
384,283,10,1,2,1,3,2021-03-11,14
385,284,15,2,4,2,,2021-03-11,99
386,285,5,1,1,2,,2021-03-11,5
387,286,9,3,3,2,,2021-03-11,56
388,287,8,3,2,2,,2021-03-11,98
389,287,20,1,2,2,,2021-03-11,98
390,288,13,2,1,2,,2021-03-11,80
391,289,18,2,3,2,,2021-03-12,58
392,290,5,2,6,2,,2021-03-12,50
393,290,24,1,6,2,,2021-03-12,21
394,291,8,2,3,1,1,2021-03-12,63
395,291,19,2,3,1,1,2021-03-12,63
396,292,16,1,4,2,,2021-03-12,3
397,292,22,2,4,2,,2021-03-12,3
398,293,1,3,3,1,1,2021-03-13,21
399,293,22,2,3,1,1,2021-03-13,21
400,294,6,2,3,1,3,2021-03-13,27
401,295,12,3,4,2,,2021-03-13,11
402,296,15,3,1,2,,2021-03-13,33
403,297,7,2,6,2,,2021-03-14,74
404,298,17,2,3,1,1,2021-03-14,36
405,299,7,1,3,1,1,2021-03-14,5
406,300,1,3,6,2,,2021-03-14,85
407,301,16,2,2,1,2,2021-03-14,27
408,301,21,2,2,1,2,2021-03-14,27
409,302,16,3,6,1,1,2021-03-15,23
410,302,26,1,6,1,1,2021-03-15,95
411,303,10,2,1,2,,2021-03-15,27
412,304,4,1,2,1,2,2021-03-15,89
413,304,20,2,2,1,2,2021-03-15,89
414,305,7,2,5,2,,2021-03-15,90
415,306,2,3,6,2,,2021-03-16,98
416,306,31,2,6,2,,2021-03-16,35
417,307,18,3,6,1,3,2021-03-16,6
418,307,19,2,6,1,3,2021-03-16,6
419,308,12,1,6,1,2,2021-03-16,7
420,309,1,3,6,2,,2021-03-16,82
421,310,7,1,6,2,,2021-03-17,99
422,311,1,2,6,1,3,2021-03-17,61
423,312,13,1,2,2,,2021-03-17,8
424,313,13,1,5,1,2,2021-03-17,71
425,314,5,3,2,2,,2021-03-17,72
426,314,22,2,2,2,,2021-03-17,72
427,314,23,2,2,2,,2021-03-17,72
428,314,24,2,2,2,,2021-03-17,21
429,315,18,2,6,2,,2021-03-17,31
430,316,11,2,5,1,1,2021-03-18,100
431,316,29,1,5,1,1,2021-03-18,96
432,317,17,2,4,1,1,2021-03-18,56
433,317,22,1,4,1,1,2021-03-18,56
434,318,14,2,4,1,3,2021-03-18,76
435,319,5,2,6,1,3,2021-03-19,54
436,319,21,1,6,1,3,2021-03-19,54
437,320,5,2,5,1,3,2021-03-19,59
438,321,18,1,4,1,1,2021-03-19,21
439,322,7,1,5,2,,2021-03-19,72
440,323,1,2,3,1,1,2021-03-19,34
441,324,6,3,5,2,,2021-03-19,67
442,324,22,2,5,2,,2021-03-19,67
443,325,18,3,6,2,,2021-03-19,67
444,326,4,1,1,1,2,2021-03-19,27
445,327,11,3,3,2,,2021-03-19,67
446,328,3,2,4,2,,2021-03-20,95
447,328,23,1,4,2,,2021-03-20,95
448,329,14,2,2,2,,2021-03-20,73
449,330,11,3,4,1,1,2021-03-20,91
450,331,14,1,6,2,,2021-03-20,26
451,331,21,1,6,2,,2021-03-20,26
452,332,9,1,1,2,,2021-03-20,61
453,333,7,3,5,1,1,2021-03-21,42
454,333,28,1,5,1,1,2021-03-21,24
455,334,12,1,4,2,,2021-03-21,28
456,335,11,3,4,2,,2021-03-21,60
457,336,8,2,5,2,,2021-03-21,99
458,337,13,1,5,2,,2021-03-21,85
459,338,1,3,6,1,3,2021-03-21,19
460,339,13,2,1,1,3,2021-03-22,3
461,340,3,2,6,2,,2021-03-23,78
462,341,4,2,1,1,2,2021-03-23,16
463,342,6,1,3,2,,2021-03-23,90
464,343,12,1,1,2,,2021-03-23,34
465,344,7,1,1,2,,2021-03-23,84
466,344,29,1,1,2,,2021-03-23,96
467,344,25,1,1,2,,2021-03-23,57
468,345,2,3,4,2,,2021-03-24,38
469,346,6,2,5,1,2,2021-03-24,61
470,347,10,3,2,1,3,2021-03-24,69
471,348,14,2,2,2,,2021-03-25,52
472,349,1,3,1,1,2,2021-03-25,82
473,350,15,1,3,1,2,2021-03-26,30
474,350,20,1,3,1,2,2021-03-26,30
475,351,8,3,1,2,,2021-03-26,57
476,352,4,1,2,1,2,2021-03-26,18
477,353,1,3,3,1,1,2021-03-26,31
478,354,4,2,4,1,2,2021-03-26,58
479,355,9,1,4,2,,2021-03-27,2
480,356,16,1,1,2,,2021-03-27,23
481,357,17,1,1,2,,2021-03-27,7
482,357,30,2,1,2,,2021-03-27,60
483,358,16,1,1,1,1,2021-03-27,75
484,358,21,2,1,1,1,2021-03-27,75
485,358,20,2,1,1,1,2021-03-27,75
486,359,10,1,6,1,1,2021-03-27,66
487,360,7,3,4,2,,2021-03-28,26
488,361,1,2,3,1,3,2021-03-28,81
489,362,9,2,3,2,,2021-03-28,69
490,362,26,1,3,2,,2021-03-28,95
491,363,6,2,6,2,,2021-03-29,21
492,364,16,1,3,2,,2021-03-29,43
493,364,20,1,3,2,,2021-03-29,43
494,365,3,2,6,2,,2021-03-29,64
495,366,2,2,2,1,2,2021-03-29,24
496,367,13,2,3,1,3,2021-03-29,35
497,368,7,2,2,2,,2021-03-30,27
498,369,17,1,3,2,,2021-03-30,60
499,370,10,2,2,1,1,2021-03-30,85
500,371,10,1,1,2,,2021-03-30,9
501,372,18,1,1,1,1,2021-03-31,77
502,373,5,3,3,1,2,2021-03-31,29
503,373,20,1,3,1,2,2021-03-31,29
504,374,9,3,2,2,,2021-03-31,44
505,375,11,2,6,2,,2021-03-31,81
506,375,22,1,6,2,,2021-03-31,81
507,376,6,2,4,1,3,2021-03-31,51
508,377,17,2,3,2,,2021-04-01,4
509,378,7,1,5,1,1,2021-04-01,27
510,379,18,2,4,2,,2021-04-01,75
511,380,4,3,2,1,3,2021-04-01,47
512,380,19,2,2,1,3,2021-04-01,47
513,381,6,3,3,2,,2021-04-01,61
514,382,7,3,4,2,,2021-04-01,80
515,382,27,2,4,2,,2021-04-01,95
516,383,15,3,2,1,3,2021-04-02,81
517,384,10,3,1,1,2,2021-04-02,52
518,385,11,2,2,1,2,2021-04-02,65
519,386,12,2,6,2,,2021-04-02,62
520,386,28,2,6,2,,2021-04-02,24
521,387,16,3,4,2,,2021-04-02,31
522,387,23,1,4,2,,2021-04-02,31
523,388,10,3,6,2,,2021-04-03,89
524,389,13,2,6,1,1,2021-04-03,6
525,390,12,1,5,1,3,2021-04-03,24
526,390,29,1,5,1,3,2021-04-03,96
527,390,24,2,5,1,3,2021-04-03,21
528,391,10,2,3,1,1,2021-04-03,27
529,392,12,3,6,2,,2021-04-03,27
530,393,2,3,1,2,,2021-04-03,94
531,393,25,2,1,2,,2021-04-03,57
532,394,13,2,3,2,,2021-04-04,75
533,395,8,2,4,2,,2021-04-04,1
534,395,30,1,4,2,,2021-04-04,60
535,396,6,2,1,1,3,2021-04-04,29
536,396,27,1,1,1,3,2021-04-04,95
537,397,11,3,2,2,,2021-04-04,46
538,398,17,3,2,1,1,2021-04-04,45
539,398,20,1,2,1,1,2021-04-04,45
540,399,4,2,6,2,,2021-04-04,64
541,400,8,1,4,2,,2021-04-04,84
542,400,23,1,4,2,,2021-04-04,84
543,401,12,2,6,2,,2021-04-05,30
544,402,6,2,6,1,1,2021-04-05,31
545,403,15,3,1,2,,2021-04-05,73
546,404,1,1,4,2,,2021-04-06,91
547,405,1,1,5,2,,2021-04-06,59
548,405,20,1,5,2,,2021-04-06,59
549,406,1,3,1,1,1,2021-04-06,62
550,406,23,1,1,1,1,2021-04-06,62
551,407,8,3,6,1,1,2021-04-06,92
552,408,5,2,6,1,3,2021-04-07,43
553,408,25,2,6,1,3,2021-04-07,57
554,409,9,3,6,2,,2021-04-08,28
555,410,1,3,5,2,,2021-04-08,33
556,411,9,1,2,2,,2021-04-08,58
557,411,26,2,2,2,,2021-04-08,95
558,412,17,3,1,1,3,2021-04-08,50
559,413,10,1,3,1,3,2021-04-08,62
560,414,4,1,3,2,,2021-04-09,44
561,415,17,1,4,2,,2021-04-09,91
562,416,16,1,4,1,3,2021-04-10,25
563,417,14,3,1,1,3,2021-04-10,25
564,418,5,2,5,1,2,2021-04-10,98
565,419,13,1,1,1,3,2021-04-11,40
566,419,20,1,1,1,3,2021-04-11,40
567,420,14,1,3,2,,2021-04-11,33
568,421,9,1,1,2,,2021-04-11,45
569,422,18,1,6,2,,2021-04-11,28
570,423,11,3,4,1,3,2021-04-11,92
571,424,8,3,3,1,2,2021-04-12,36
572,425,14,2,3,2,,2021-04-12,34
573,426,5,3,2,2,,2021-04-12,83
574,427,15,1,5,2,,2021-04-12,17
575,428,17,2,1,2,,2021-04-13,11
576,429,8,1,6,1,2,2021-04-13,34
577,429,20,2,6,1,2,2021-04-13,34
578,429,27,2,6,1,2,2021-04-13,95
579,430,10,3,6,1,3,2021-04-14,7
580,431,18,3,1,1,3,2021-04-14,80
581,432,12,3,1,1,2,2021-04-14,8
582,432,25,2,1,1,2,2021-04-14,57
583,433,7,2,4,2,,2021-04-14,94
584,434,3,2,5,1,1,2021-04-14,40
585,435,13,3,1,2,,2021-04-14,13
586,436,2,2,4,1,3,2021-04-14,99
587,436,29,2,4,1,3,2021-04-14,96
588,437,6,1,2,1,2,2021-04-15,97
589,438,5,2,3,1,2,2021-04-15,15
590,438,28,2,3,1,2,2021-04-15,24
591,438,25,2,3,1,2,2021-04-15,57
592,439,12,1,3,2,,2021-04-16,87
593,439,19,2,3,2,,2021-04-16,87
594,439,21,1,3,2,,2021-04-16,87
595,439,20,1,3,2,,2021-04-16,87
596,440,1,3,3,1,2,2021-04-16,72
597,440,19,1,3,1,2,2021-04-16,72
598,441,8,2,5,2,,2021-04-16,94
599,442,11,1,4,1,3,2021-04-16,68
600,443,16,3,4,2,,2021-04-16,100
601,444,15,3,6,2,,2021-04-16,69
602,444,27,2,6,2,,2021-04-16,95
603,445,15,3,2,2,,2021-04-17,13
604,445,19,1,2,2,,2021-04-17,13
605,446,11,3,2,1,3,2021-04-17,89
606,447,2,3,2,1,3,2021-04-17,22
607,448,13,2,6,2,,2021-04-18,84
608,449,17,3,6,2,,2021-04-18,80
609,450,9,2,6,1,1,2021-04-18,9
610,451,14,2,1,1,1,2021-04-18,5
611,452,11,1,5,1,3,2021-04-18,5
612,453,18,1,3,1,1,2021-04-18,62
613,454,12,1,3,2,,2021-04-19,38
614,454,22,2,3,2,,2021-04-19,38
615,455,7,1,4,2,,2021-04-19,71
616,456,5,3,1,2,,2021-04-19,89
617,457,9,3,1,2,,2021-04-19,76
